Date/Time,Address,Call Type,Description,Incident Number,Duration
7/3/2023 13:53,1900 BLK 18TH AVE S,Domestic,DOMESTIC,2023-00016475,1:01:47
7/2/2023 20:33,1600 BLK BELSLY BLVD,Domestic,Domestic,2023-00016388,0:28:08
6/30/2023 19:49,34TH ST S,Domestic,Domestic,2023-00016175,0:47:00
6/30/2023 18:32,100 BLK 16TH ST S,Domestic,DOMESTIC,2023-00016168,0:34:17
6/29/2023 19:58,1300 BLK 10TH AVE S,Domestic,Domestic,2023-00016072,0:45:54
6/28/2023 21:27,1800 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00016000,0:18:11
6/28/2023 19:12,700 BLK 30TH AVE S,Domestic,DOMESTIC,2023-00015994,4:45:03
6/26/2023 22:36,2500 BLK 14TH ST S,Domestic,VERBAL DOMESTIC,2023-00015823,0:38:24
6/24/2023 14:15,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00015625,0:14:37
6/24/2023 4:11,400 BLK 7TH ST S,Domestic,Domestic,2023-00015604,0:17:51
6/23/2023 16:58,1800 BLK BELSLY BLVD,Domestic,DOMESTIC,Multiple incidents,1:08:04
6/22/2023 17:15,1700 BLK 3RD AVE S,Domestic,Domestic,2023-00015475,1:09:49
6/22/2023 2:41,3300 BLK 3RD AVE N,Domestic,PHY DOMESTIC,2023-00015417,0:55:23
6/21/2023 22:05,1000 BLK 20TH ST S,Domestic,DOMESTIC,2023-00015402,0:31:49
6/21/2023 12:07,1700 BLK 3RD AVE S,Domestic,Domestic,Multiple incidents,1:59:57
6/21/2023 0:11,1800 BLK BELSLY BLVD,Domestic,PHY DOMESTIC,2023-00015300,0:27:01
6/20/2023 0:32,900 BLK 10TH AVE S,Domestic,Domestic,2023-00015187,0:35:54
6/19/2023 0:02,200 BLK 16TH ST S,Domestic,SOUNDS OF DOMESTIC,2023-00015104,0:39:48
6/18/2023 19:17,1100 BLK 18TH ST S,Domestic,DOMESTIC,Multiple incidents,1:05:53
6/18/2023 17:57,3000 BLK 18TH ST S,Domestic,Domestic,2023-00015072,0:48:56
6/18/2023 11:27,800 BLK 2ND AVE N,Domestic,DOMESTIC,2023-00015051,0:14:39
6/17/2023 0:26,2400 BLK 36TH ST S,Domestic,Domestic,2023-00014935,0:35:18
6/16/2023 23:45,1200 BLK BELSLY BLVD,Domestic,Domestic,2023-00014932,0:32:33
6/16/2023 22:26,800 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00014928,0:17:08
6/16/2023 21:37,3500 BLK 8TH AVE S,Domestic,DOMESTIC,2023-00014924,0:28:29
6/16/2023 0:09,1100 BLK 19TH ST S,Domestic,Domestic,2023-00014831,0:31:52
6/15/2023 20:57,3000 BLK 18TH ST S,Domestic,Domestic,2023-00014818,0:17:51
6/12/2023 6:32,1000 BLK 10TH ST S,Domestic,Domestic,Multiple incidents,0:18:25
6/12/2023 5:43,1100 BLK 19TH ST S,Domestic,DOMESTIC,Multiple incidents,1:27:12
6/11/2023 21:01,3600 BLK 8TH ST S,Domestic,DOMESTIC,2023-00014404,0:50:23
6/9/2023 16:02,800 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00014246,0:33:54
6/6/2023 22:34,3200 BLK 20TH ST S,Domestic,Domestic,2023-00014013,0:27:57
6/5/2023 23:34,MAIN AVE,Domestic,VERB DOMESTIC,2023-00013934,0:18:57
6/3/2023 23:49,500 BLK 30TH AVE S,Domestic,PHSYCIAL DOMESTIC,Multiple incidents,1:35:13
6/3/2023 14:44,700 BLK 11TH ST N,Domestic,DOMESTIC,2023-00013693,0:17:49
6/1/2023 14:35,1000 BLK 32ND AVE S,Domestic,Domestic,2023-00013481,0:35:09
5/31/2023 23:36,3000 BLK 18TH ST S,Domestic,Domestic,2023-00013423,0:32:36
5/31/2023 14:53,1300 BLK 19 1/2 ST S,Domestic,DOMESTIC,2023-00013370,0:46:54
5/30/2023 23:13,900 BLK 24TH AVE S,Domestic,DOMESTIC,2023-00013313,0:15:16
5/30/2023 15:18,300 BLK 5TH AVE S,Domestic,DOMESTIC,2023-00013278,0:32:50
5/30/2023 11:49,1700 BLK 3RD AVE S,Domestic,DOMESTIC,2023-00013257,0:39:21
5/27/2023 21:20,900 BLK 11TH ST N,Domestic,Domestic,2023-00013071,0:40:16
5/27/2023 2:25,1900 BLK 5TH AVE S,Domestic,Domestic,2023-00013011,0:25:40
5/26/2023 0:57,3000 BLK 20TH ST S,Domestic,DOMESTIC,2023-00012907,0:11:31
5/25/2023 20:02,1600 BLK 1ST AVE N,Domestic,DOMESTIC,Multiple incidents,0:55:48
5/25/2023 13:47,3700 BLK VILLAGE GREEN BLVD,Domestic,Domestic,2023-00012833,1:08:23
5/24/2023 18:45,400 BLK 11TH ST S,Domestic,DOMESTIC SEPARATED,2023-00012738,0:12:50
5/24/2023 11:23,400 BLK 11TH ST S,Domestic,DOMESTIC,2023-00012701,0:27:21
5/23/2023 12:46,1900 BLK 18TH AVE S,Domestic,DOMESTIC,2023-00012609,2:47:39
5/21/2023 11:15,2900 BLK 20TH ST S,Domestic,DOMESTIC,2023-00012442,0:26:50
5/20/2023 18:05,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00012403,0:29:48
5/20/2023 14:55,2500 BLK 14TH ST S,Domestic,DOMESTIC - VERBAL,2023-00012388,0:33:20
5/17/2023 16:39,3300 BLK 14TH ST S,Domestic,DOMESTIC,2023-00012092,1:35:41
5/14/2023 23:24,1000 BLK 32ND AVE S,Domestic,DOMESTIC\\WELFARE CHECK,2023-00011799,0:48:35
5/14/2023 18:55,1900 BLK 33RD ST S,Domestic,Domestic,2023-00011772,0:28:43
5/14/2023 4:15,1600 BLK BELSLY BLVD,Domestic,Domestic,2023-00011728,0:18:50
5/14/2023 0:08,1300 BLK 12TH ST N,Domestic,DOMESTIC,2023-00011722,0:39:54
5/13/2023 23:40,2900 BLK 5TH ST S,Domestic,Domestic,2023-00011719,1:00:09
5/13/2023 15:46,3400 BLK 18TH ST S,Domestic,DOMESTIC WITH KNIFES,2023-00011692,0:43:57
5/13/2023 1:33,1200 BLK BELSLY BLVD,Domestic,Domestic,2023-00011669,0:27:00
5/11/2023 16:32,2400 BLK 4TH AVE N,Domestic,DOMESTIC/1055,2023-00011521,0:30:45
5/11/2023 12:17,3000 BLK HWY 10 E,Domestic,PHYSICAL DOMESTIC,Multiple incidents,0:44:51
5/10/2023 16:09,700 BLK 11TH ST N,Domestic,DOMESTIC,2023-00011379,0:13:33
5/9/2023 21:07,1100 BLK 18 1/2 ST N,Domestic,DOMESTIC,2023-00011269,0:36:23
5/9/2023 17:24,500 BLK 30TH AVE S,Domestic,Domestic,2023-00011243,0:24:12
5/8/2023 11:34,9TH ST S,Domestic,Domestic,2023-00011111,0:06:36
5/7/2023 20:52,1000 BLK 32ND AVE S,Domestic,PHYSICAL DOMESTIC,2023-00011055,0:07:28
5/4/2023 23:27,8000 BLK 40TH ST N,Domestic,DOMESTIC,Multiple incidents,1:25:46
5/3/2023 22:34,1200 BLK 34TH STREET CIR S,Domestic,PHYS DOMESTIC,2023-00010656,0:50:21
5/1/2023 13:02,3500 BLK VILLAGE GREEN DR,Domestic,Domestic,2023-00010416,0:38:36
5/1/2023 10:11,400 BLK 7TH ST S,Domestic,DOMESTIC,2023-00010400,0:20:25
4/30/2023 14:18,900 BLK 11TH ST N,Domestic,DOMESTIC/LOBBY,2023-00010347,1:37:58
4/30/2023 12:32,3500 BLK VILLAGE GREEN DR,Domestic,Domestic,2023-00010334,0:41:01
4/29/2023 21:06,800 BLK 2ND AVE N,Domestic,Domestic,2023-00010294,1:09:43
4/29/2023 18:25,100 BLK 21ST ST N,Domestic,DOMESTIC,2023-00010280,0:04:10
4/29/2023 7:37,600 BLK 10TH ST N,Domestic,1021 POSS DOMESTIC ABUSE REPORT,Multiple incidents,2:00:58
4/28/2023 19:41,600 BLK 9TH ST N,Domestic,DOMESTIC,2023-00010175,0:49:06
4/28/2023 18:10,7TH AVE N,Domestic,Domestic,2023-00010166,0:08:38
4/28/2023 11:13,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00010126,0:18:47
4/27/2023 18:12,4000 BLK RIVERSHORE DR S,Domestic,DOMESTIC,2023-00010062,1:04:03
4/24/2023 22:13,1700 BLK 3RD AVE S,Domestic,VERBAL DOMESTIC,2023-00009730,0:28:13
4/24/2023 21:24,500 BLK 32ND AVE S,Domestic,DOMESTIC,2023-00009727,0:24:04
4/24/2023 19:07,900 BLK 10TH AVE S,Domestic,Domestic,2023-00009715,0:18:34
4/23/2023 19:31,400 BLK DUDREY CT,Domestic,DELAYED DOMESTIC,2023-00009617,0:32:39
4/21/2023 10:24,700 BLK 4TH AVE S,Domestic,DOMESTIC/VANDALISM/1021,2023-00009438,0:13:44
4/18/2023 10:38,2900 BLK 15TH AVE S,Domestic,DOMESTIC,,5:22:48
4/18/2023 10:00,2900 BLK 15TH AVE S,Domestic,DOMESTIC,Multiple incidents,1:51:12
4/17/2023 21:26,1600 BLK 4TH AVE N,Domestic,Domestic,2023-00009103,0:05:53
4/16/2023 10:12,400 BLK 7TH ST S,Domestic,DOMESTIC W/KNIFE,2023-00008960,0:38:43
4/15/2023 19:34,3500 BLK 18TH ST S,Domestic,DOMESTIC,2023-00008925,0:27:24
4/14/2023 2:50,400 BLK 7TH ST S,Domestic,VERBAL DOMESTIC,2023-00008766,0:15:19
4/12/2023 12:34,400 BLK SUNRISE CIR,Domestic,DOMESTIC,2023-00008608,0:42:22
4/11/2023 3:43,1600 BLK 6TH AVE S,Domestic,Domestic,Multiple incidents,1:10:26
4/9/2023 14:33,1000 BLK 18 1/2 ST S,Domestic,DOMESTIC ASSAULT REPORT/MHD PD,2023-00008330,2:04:56
4/9/2023 2:44,1100 BLK BELSLY BLVD,Domestic,Domestic,2023-00008297,0:29:49
4/9/2023 1:44,2100 BLK 18TH ST S,Domestic,1021 DOMESTIC,2023-00008292,1:06:43
4/8/2023 19:20,2300 BLK 8TH ST S,Domestic,Domestic,2023-00008260,0:31:40
4/8/2023 16:05,800 BLK 30TH AVE S,Domestic,DOMESTIC,2023-00008245,1:11:50
4/7/2023 12:36,600 BLK 36TH AVE S,Domestic,PHYS DOMESTIC,2023-00008124,0:37:20
4/7/2023 9:22,3200 BLK 9TH ST S,Domestic,DOMESTIC,2023-00008095,0:23:38
4/6/2023 19:47,3500 BLK VILLAGE GREEN DR,Domestic,Domestic,2023-00008043,0:15:56
4/6/2023 18:05,4400 BLK 18TH ST S,Domestic,DOMESTIC,2023-00008032,0:37:46
4/6/2023 5:34,2500 BLK 14TH ST S,Domestic,Domestic,2023-00007962,0:36:14
4/5/2023 20:44,4400 BLK 18TH ST S,Domestic,DOMESTIC,2023-00007950,0:41:58
4/5/2023 18:51,700 BLK 11TH ST N,Domestic,Domestic,2023-00007941,0:29:56
4/5/2023 16:37,3000 BLK 17TH ST S,Domestic,PHYSICAL DOMESTIC,Multiple incidents,1:03:50
4/4/2023 22:32,400 BLK CENTER AVE,Domestic,Domestic,2023-00007886,0:42:11
4/4/2023 17:42,800 BLK 44TH AVE S,Domestic,DOMESTIC/ASSAULT,Multiple incidents,0:47:53
4/2/2023 22:13,3500 BLK 18TH ST S,Domestic,DOMESTIC,2023-00007720,1:02:23
4/1/2023 14:35,1500 BLK 9TH AVE S,Domestic,Domestic,2023-00007622,2:50:36
4/1/2023 11:20,3000 BLK 18TH ST S,Domestic,PHYSICAL DOMESTIC,2023-00007607,0:20:04
4/1/2023 11:05,600 BLK 36TH AVE S,Domestic,PHYS DOMESTIC,2023-00007606,0:40:06
3/30/2023 14:54,200 BLK CAMBRIDGE AVE,Domestic,Domestic,,5:08:13
3/29/2023 14:08,700 BLK 4TH AVE S,Domestic,Domestic,2023-00007311,0:56:57
3/26/2023 16:27,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00007017,0:29:37
3/26/2023 3:19,3000 BLK 17TH ST S,Domestic,DOMESTIC,2023-00006974,0:23:12
3/25/2023 21:30,1000 BLK 32ND AVE S,Domestic,DOMESTIC,2023-00006960,0:25:54
3/25/2023 0:09,10700 BLK 19TH ST S,Domestic,Domestic,2023-00005213,0:34:27
3/24/2023 23:13,1800 BLK 9TH AVE S,Domestic,SOUNDS OF DOMESTIC,2023-00006880,0:57:42
3/23/2023 9:32,800 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00006703,0:33:59
3/23/2023 8:52,2900 BLK 5TH ST S,Domestic,DOMESTIC,2023-00006697,0:49:38
3/23/2023 1:56,2900 BLK 5TH ST S,Domestic,DOMESTIC,2023-00006682,0:41:03
3/21/2023 20:47,14TH AVE S,Domestic,PHYSICAL DOMESTIC,2023-00006564,0:26:23
3/21/2023 18:48,400 BLK 11TH ST S,Domestic,DOMESTIC,2023-00006554,0:16:18
3/19/2023 6:47,1600 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00006333,0:21:40
3/17/2023 16:29,1500 BLK 15TH ST S,Domestic,Domestic,2023-00006244,0:52:53
3/16/2023 14:39,4100 BLK 23RD AVE S,Domestic,DOMESTIC / SEPARATED NOW,2023-00006172,1:04:29
3/15/2023 11:59,0 BLK QUEEN ST,Domestic,DOMESTIC,2023-00006079,0:21:54
3/14/2023 21:28,1900 BLK 1ST AVE N,Domestic,DOMESTIC,2023-00006041,0:14:19
3/14/2023 11:53,1200 BLK 14TH ST N,Domestic,Domestic,2023-00006002,0:40:24
3/12/2023 19:48,1900 BLK 34TH AVE S,Domestic,PHYSICAL DOMESTIC,2023-00005838,0:57:02
3/11/2023 19:34,400 BLK 7TH ST S,Domestic,DOMESTIC,Multiple incidents,1:47:44
3/11/2023 9:27,1300 BLK 13TH ST S,Domestic,DOMESTIC,2023-00005730,0:53:47
3/9/2023 18:45,100 BLK 5TH ST S,Domestic,DOMESTIC,2023-00005606,0:53:16
3/9/2023 6:47,600 BLK 9TH ST N,Domestic,DOMESTIC/UNK IF PHYS,2023-00005541,0:39:53
3/8/2023 23:54,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00005529,0:31:24
3/7/2023 21:29,1000 BLK 3RD AVE N,Domestic,Domestic,2023-00005433,1:06:41
3/7/2023 12:53,3400 BLK 18TH ST S,Domestic,Domestic,2023-00005403,0:54:10
3/6/2023 11:31,1900 BLK 4TH AVE N,Domestic,DOMESTIC,2023-00005297,0:48:16
3/5/2023 19:51,700 BLK 4TH AVE S,Domestic,DOMESTIC,2023-00005260,0:55:28
3/4/2023 17:30,1500 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00005149,0:14:14
3/4/2023 15:24,3000 BLK 17TH ST S,Domestic,DOMESTIC,2023-00005138,0:24:34
3/3/2023 13:04,500 BLK 17TH ST S,Domestic,DOMESTIC,2023-00005029,2:05:41
3/3/2023 1:50,400 BLK 7TH ST S,Domestic,DOMESTIC,2023-00004985,0:32:09
3/1/2023 13:14,1200 BLK 34TH STREET CIR S,Domestic,DOMESTIC,Multiple incidents,2:01:53
3/1/2023 12:07,1200 BLK 34TH STREET CIR S,Domestic,Domestic,2023-00004832,0:31:11
3/1/2023 10:33,1200 BLK 34TH STREET CIR S,Domestic,POSSIBLE PHYSICAL DOMESTIC,2023-00004826,0:54:50
2/26/2023 13:37,3300 BLK 17TH ST S,Domestic,Domestic,Multiple incidents,1:55:38
2/25/2023 19:32,900 BLK 23RD AVE S,Domestic,Domestic,2023-00004533,1:47:32
2/24/2023 21:38,900 BLK 24TH AVE S,Domestic,POSS PHYSICAL DOMESTIC,2023-00004484,0:39:05
2/24/2023 19:46,400 BLK 7TH ST S,Domestic,DOMESTIC,2023-00004474,0:23:13
2/24/2023 15:46,3400 BLK 18TH ST S,Domestic,DOMESTIC,2023-00004457,1:00:13
2/23/2023 20:40,400 BLK BIRCH CIR,Domestic,DOMESTIC,2023-00004381,0:38:39
2/23/2023 7:09,1900 BLK 4TH AVE N,Domestic,Domestic,2023-00004333,1:47:54
2/22/2023 23:42,1300 BLK 32ND STREET CIR S,Domestic,DOMESTIC,2023-00004322,1:00:38
2/22/2023 12:36,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00004282,0:33:11
2/22/2023 9:39,3000 BLK 18TH ST S,Domestic,DOMESTIC?,2023-00004265,0:54:30
2/22/2023 0:40,1200 BLK 9TH ST N,Domestic,PHYSICAL DOMESTIC,Multiple incidents,1:14:38
2/21/2023 15:12,3600 BLK 12TH AVE S,Domestic,Domestic,2023-00004206,0:56:35
2/21/2023 14:24,1200 BLK 27TH AVE S,Domestic,DOMESTIC/M THREATENING BODILY HARM,2023-00004200,1:22:12
2/20/2023 20:35,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00004141,2:11:41
2/20/2023 12:47,1900 BLK 5TH AVE S,Domestic,Domestic,2023-00004103,1:06:03
2/19/2023 23:29,4400 BLK BLUE STEM WAY,Domestic,DOMESTIC,2023-00004073,0:18:34
2/17/2023 14:40,7400 BLK OAKPORT ST N,Domestic,DOMESTIC,2023-00002957,1:13:18
2/16/2023 17:55,1200 BLK 2ND AVE S,Domestic,DOMESTIC?,2023-00003834,0:41:08
2/15/2023 19:23,6200 BLK 12TH ST N,Domestic,DOMESTIC,2023-00003761,0:51:28
2/15/2023 10:40,1200 BLK 34TH STREET CIR S,Domestic,PHYS DOMESTIC,2023-00003726,0:19:46
2/13/2023 18:06,0 BLK RIVER OAKS PT,Domestic,DOMESTIC,2023-00003616,0:43:13
2/13/2023 9:48,1800 BLK 1ST AVE N,Domestic,DOMESTIC,2023-00003567,0:28:04
2/11/2023 18:19,1000 BLK 3RD AVE N,Domestic,Domestic,Multiple incidents,1:08:23
2/10/2023 11:35,3400 BLK 10TH ST S,Domestic,Domestic,2023-00003356,0:41:42
2/10/2023 9:47,3000 BLK 20TH ST S,Domestic,ROLLING DOMESTIC,2023-00003345,1:10:07
2/7/2023 10:57,3700 BLK 13TH ST S,Domestic,DOMESTIC RPT,2023-00003055,1:18:29
2/6/2023 11:08,2800 BLK 27TH AVE S,Domestic,Domestic,2023-00002965,2:57:33
2/5/2023 19:40,1400 BLK 9TH ST N,Domestic,DOMESTIC,2023-00002934,4:05:43
2/3/2023 23:32,1900 BLK 32ND ST S,Domestic,PHY DOMESTIC,2023-00002840,1:03:19
2/2/2023 23:17,1200 BLK 46TH AVE S,Domestic,Domestic,2023-00002764,0:29:00
2/2/2023 22:15,1200 BLK 46TH AVE S,Domestic,Domestic,,6:18:15
1/30/2023 22:35,1800 BLK 41ST AVE S,Domestic,PHYSICAL DOMESTIC,,6:32:02
1/28/2023 14:40,3500 BLK 39TH ST S,Domestic,DOMESTIC/PHYS,2023-00002313,1:05:32
1/28/2023 2:36,1000 BLK 5TH ST S,Domestic,DOMESTIC,2023-00002287,0:58:38
1/27/2023 21:13,2300 BLK 4TH AVE S,Domestic,MOTHER/DAUGHTER DOMESTIC/1021,2023-00002269,0:39:29
1/26/2023 1:31,1900 BLK 20TH ST S,Domestic,DOMESTIC RPT / MHD,2023-00002098,1:48:59
1/25/2023 21:48,1200 BLK 15TH AVE N,Domestic,Domestic,Multiple incidents,0:49:31
1/22/2023 17:01,0 BLK MAYFAIR DR,Domestic,DOMESTIC,2023-00001797,1:05:41
1/22/2023 11:02,1300 BLK 3RD AVE N,Domestic,PHYS DOMESTIC,2023-00001779,1:48:14
1/21/2023 17:11,500 BLK MAIN AVE,Domestic,DOMESTIC,2023-00001733,0:12:32
1/21/2023 16:16,1300 BLK 19 1/2 ST S,Domestic,DOMESTIC,2023-00001729,0:16:09
1/21/2023 9:58,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00001703,1:05:50
1/21/2023 0:58,500 BLK 32ND AVE S,Domestic,DOMESTIC,2023-00001688,0:43:27
1/20/2023 22:55,400 BLK SUNRISE CIR,Domestic,DOMESTIC,2023-00001683,0:40:04
1/20/2023 19:56,1600 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00001671,0:16:06
1/20/2023 19:48,2500 BLK COUNTRY CLUB PKWY,Domestic,Domestic,2023-00001670,1:45:24
1/20/2023 1:09,1900 BLK BELSLY BLVD,Domestic,Domestic,2023-00001610,0:25:58
1/19/2023 21:07,3600 BLK 39TH ST S,Domestic,VERBAL DOMESTIC,2023-00001597,0:20:48
1/18/2023 17:30,1600 BLK 20TH ST S,Domestic,Domestic,2023-00001487,0:20:13
1/17/2023 9:13,7TH AVE N,Domestic,Domestic,2023-00001348,0:16:38
1/16/2023 15:04,1600 BLK 6TH AVE S,Domestic,Domestic,2023-00001299,0:26:54
1/14/2023 5:14,1200 BLK 27TH AVE S,Domestic,WELFARE CHECK / POSS DOMESTIC,2023-00001144,0:27:27
1/14/2023 2:37,1300 BLK 19 1/2 ST S,Domestic,Domestic,2023-00001142,0:25:53
1/12/2023 17:22,2600 BLK 11TH ST S,Domestic,DOMESTIC \\1021,2023-00001012,0:45:08
1/12/2023 8:38,1700 BLK 13TH AVE N,Domestic,DOMESTIC / SEPARATED NOW,2023-00000954,0:38:27
1/10/2023 22:41,11TH ST N,Domestic,ABUSE/DOMESTIC,Multiple incidents,0:13:17
1/9/2023 19:19,3200 BLK 9TH ST S,Domestic,DOMESTIC/SEPERATED,2023-00000748,1:40:12
1/8/2023 23:07,1000 BLK 39TH ST S,Domestic,Domestic,2023-00000654,0:20:04
1/8/2023 19:26,900 BLK 17TH ST S,Domestic,DOMESTIC,2023-00000644,0:38:18
1/7/2023 15:24,2800 BLK 5TH ST S,Domestic,Domestic,2023-00000570,1:00:09
1/6/2023 23:56,3000 BLK 20TH ST S,Domestic,DOMESTIC,2023-00000524,0:56:33
1/5/2023 12:00,2600 BLK 4TH AVE N,Domestic,Domestic,2023-00000392,0:15:18
1/4/2023 12:25,700 BLK 4TH AVE S,Domestic,DOMESTIC REPORT/1021 ONLY,2023-00000302,0:49:13
1/3/2023 9:37,3000 BLK 17TH ST S,Domestic,DOMESTIC,2023-00000168,0:33:10
1/3/2023 0:43,100 BLK 16TH ST S,Domestic,DOMESTIC,2023-00000148,1:10:25
1/2/2023 16:22,1200 BLK 37TH AVE S,Domestic,DOMESTIC,2023-00000116,0:37:32
1/2/2023 13:23,500 BLK 1/2 30TH AVE S,Domestic,DOMESTIC,2023-00000103,1:01:54
1/1/2023 20:10,900 BLK 7TH AVE S,Domestic,DOMESTIC,2023-00000061,0:22:48
1/1/2023 9:52,1900 BLK 5TH AVE S,Domestic,DOMESTIC,2023-00000023,0:34:04
